"Dataset","Threshold","NetBenefit_Model","NetBenefit_All","NetBenefit_None"
"GSE10143-HCC",0.6,-0.636363636363636,-1.17532467532468,0
"GSE27150",0.01,0.376114081996435,0.376114081996435,0
"GSE27150",0.02,0.369747899159664,0.369747899159664,0
"GSE27150",0.03,0.363250454821104,0.363250454821104,0
"GSE27150",0.04,0.356617647058823,0.356617647058823,0
"GSE27150",0.05,0.34984520123839,0.34984520123839,0
"GSE27150",0.06,0.342928660826033,0.342928660826033,0
"GSE27150",0.07,0.335863377609108,0.335863377609108,0
"GSE27150",0.08,0.328644501278772,0.328644501278772,0
"GSE27150",0.09,0.321266968325792,0.321266968325792,0
"GSE27150",0.1,0.313725490196078,0.313725490196078,0
"GSE27150",0.11,0.291308658294779,0.30601454064772,0
"GSE27150",0.12,0.283422459893048,0.298128342245989,0
"GSE27150",0.13,0.275354969574036,0.290060851926978,0
"GSE27150",0.14,0.267099863201094,0.281805745554036,0
"GSE27150",0.15,0.261245674740484,0.273356401384083,0
"GSE27150",0.16,0.240896358543417,0.264705882352941,0
"GSE27150",0.17,0.238483345145287,0.255846917080085,0
"GSE27150",0.18,0.230272596843616,0.246771879483501,0
"GSE27150",0.19,0.221859114015977,0.237472766884532,0
"GSE27150",0.2,0.220588235294118,0.227941176470588,0
"GSE27150",0.21,0.216120625465376,0.218168279970216,0
"GSE27150",0.22,0.21606334841629,0.20814479638009,0
"GSE27150",0.23,0.207983193277311,0.197860962566845,0
"GSE27150",0.24,0.208978328173375,0.187306501547988,0
"GSE27150",0.25,0.156862745098039,0.176470588235294,0
"GSE27150",0.26,0.149443561208267,0.165341812400636,0
"GSE27150",0.27,0.0977034649476229,0.153908138597905,0
"GSE27150",0.28,0.0776143790849673,0.142156862745098,0
"GSE27150",0.29,0.0824357912178956,0.130074565037282,0
"GSE27150",0.3,0.0861344537815126,0.117647058823529,0
"GSE27150",0.31,0.0560528559249787,0.104859335038363,0
"GSE27150",0.32,0.0856401384083045,0.0916955017301037,0
"GSE27150",0.33,0.09657594381036,0.0781387181738366,0
"GSE27150",0.34,0.0641711229946524,0.0641711229946523,0
"GSE27150",0.35,0.0769230769230769,0.0497737556561085,0
"GSE27150",0.36,0.0615808823529412,0.0349264705882352,0
"GSE27150",0.37,0.0597572362278245,0.0196078431372548,0
"GSE27150",0.38,0.066888045540797,0.00379506641366223,0
"GSE27150",0.39,0.0747348119575699,-0.012536162005786,0
"GSE27150",0.4,0.0441176470588235,-0.0294117647058824,0
"GSE27150",0.41,0.0428713858424726,-0.0468594217347957,0
"GSE27150",0.42,0.0415821501014199,-0.0649087221095336,0
"GSE27150",0.43,0.0366357069143447,-0.0835913312693499,0
